X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
86.0599852,25.4313381,Barauni Refinery,,,,,,-1,0,-1,,
73.1646091,22.2889631,Bayer Polymers,,,,,,-1,0,-1,,
80.2707185,13.0826802,Cetex Petrochemicals,,,,,,-1,0,-1,,
79.7392865,11.6460342,Chemplast Sanmar Limited,,,,,,-1,0,-1,,
79.7483995,11.600737,Nagarjuna Oil Refinery,,,,,,-1,0,-1,,
76.3804133,9.9797429,Cochin Refineries School,,,,,,-1,0,-1,,
95.6172941,27.3831252,Digboi Refinery,,,,,,-1,0,-1,,
72.5904191,23.0282011,Finolex Industries,,,,,,-1,0,-1,,
77.603883,12.9735016,Finolex Industries Limited,,,,,,-1,0,-1,,
73.297175,16.9128139,Finolex Industries Ltd,,,,,,-1,0,-1,,
91.7748656,26.1597687,Assam Petrochemicals Limited,,,,,,-1,0,-1,,
88.3592477,22.5424336,Haldia Petrochemicals Limited,,,,,,-1,0,-1,,
91.76398,26.16864,HP PETROL PUMP - SHEW PRASAD & SONS,,,,,,-1,0,-1,,
91.766846,26.184902,HP PETROL PUMP - HP AGOMONI,,,,,,-1,0,-1,,
88.1144943,22.0666394,Hindustan Petroleum Limited,,,,,,-1,0,-1,,
88.3637607,22.5449563,Mysore Petrochemicals Limited,,,,,,-1,0,-1,,
73.8372116,15.4994823,I G Petrochemicals Limited,,,,,,-1,0,-1,,
77.6001586,12.9813704,I G Petrochemicals Limited,,,,,,-1,0,-1,,
73.8336205,15.4971228,I G PETROCHEMICALS LIMITED,,,,,,-1,0,-1,,
73.7578185,20.0120299,I B P Company Limited,,,,,,-1,0,-1,,
83.2184815,17.6868159,Bharat Petroleum Corporation Limited,,,,,,-1,0,-1,,
80.2472547,13.0423485,Chennai Petroleum Corporation Limited Corporate Office,,,,,,-1,0,-1,,
74.847789,12.9857,Mangalore Refinery And Petrochemicals Limited,,,,,,-1,0,-1,,
73.1747877,22.3139759,Indian Petrochemicals Corporation Limited,,,,,,-1,0,-1,,
77.685957,27.3770646,Mathura Refinery - IOCL,,,,,,-1,0,-1,,
72.8545019,18.9823054,Emerald Petro Chemicals Pvt Ltd,,,,,,-1,0,-1,,
73.1382797,19.0669051,Deepak Fertilizers and Petrochemicals,,,,,,-1,0,-1,,
72.8382547,19.1919689,Dhara Petrochemicals Pvt. Ltd,,,,,,-1,0,-1,,
72.8505596,19.0988386,Polychroic Petrochemicals Pvt. Ltd.,,,,,,-1,0,-1,,
72.8819988,19.0899768,Laffans Petrochemicals Ltd,,,,,,-1,0,-1,,
73.0012321,19.0774446,Deepak Fertilisers & Petrochemicals Corp Ltd,,,,,,-1,0,-1,,
72.8465083,19.0339158,Kothari Petrochemicals Ltd,,,,,,-1,0,-1,,
72.8206669,18.9245498,Mangalore Refinery And Petrochemicals,,,,,,-1,0,-1,,
72.8406454,19.0547881,Haldia Petrochemicals Limited,,,,,,-1,0,-1,,
